Permit_num,Plate_num
QWPVWAZD5X,GM6 7490
ZH4OM2B7YS,JWN5639
GLT478FDO8,LAM 514
GLT478FDO9,444 CRE
LANDPSNF09,NE 07912
CLPA45SK69,ENF 0053
LRCMEP2D9S,GUO 322
JCQYXI5459,9480 CK
VVFTHMCFNS,ACO 691
ARH6LXXOLY,9919 YY
FGNR7XMW5C,434 QNG
BLNL3X8D71,SOA 233
BLNL3X8D72,8U5 3VY
V4ITJ8XLO7,8J9 2IX
V4ITJ8XLO8,NPU 9871
R062V7G2CR,5570 ILE
MWDLC7ZUZX,UMD 895
M679CDJEWR,NVS 1340
JYQYLDTYVV,PJG5352
5BQ3ORZ4MI,ODA 437
VL74H2RYGV,XOW 8370
VL74H2RYGV,SJO 943
RIPOVBZQV4,NZV 856
E1R1ODSWQ0,145 ZYA
